,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,164,0.019265573770491803,0.09090909090909091,0.125,0.06716981132075472,0.003107510786939247,0.0,0.0,0.0,0.5,0.49999999999999994,0.09758771929824563,0.0,0.4782608695652186,0.0,0.8939393939393767,0.5714975068361099,0.21760797342193428,0.16193426260540356,0.005742353388493927
2,290,0.013770491803278688,0.06060606060606061,0.125,0.03622641509433963,0.005742534553642117,0.0,0.0,0.0,0.5,0.4166666666666667,0.05263157894736842,0.0,0.2869565217391319,0.0,0.13636363636362603,0.9361428341644,0.2375415282392055,0.39941490277060754,0.008513018796184935
3,220,0.06937704918032786,0.12121212121212122,0.375,0.12603773584905661,0.002713771603408933,0.0,0.0,0.0,1.0,0.49999999999999994,0.08333333333333333,0.1887966804979253,0.5652173913043477,0.0,0.681818181818187,0.5869390381212867,0.1046511627907023,0.16537601101359495,0.004995698116935406
4,283,0.05704918032786885,0.09090909090909091,0.25,0.1049056603773585,0.0045794895807525745,0.0,0.0,0.0,0.5,0.5833333333333333,0.1524122807017544,0.0,0.756521739130438,0.0,0.3686868686868934,0.7413543509731397,0.393687707641206,0.2410944759938049,0.007870895262644607
6,56,0.023934426229508192,0.09090909090909091,0.28125,0.10754716981132077,0.003815635564703765,0.4,0.0,0.0,0.5,0.49999999999999994,0.15625,0.0,0.8260869565217419,0.0,0.01010101010103881,0.24738619913141235,0.15946843853821235,0.3164687661331957,0.007085184176881485
7,251,0.02843934426229508,0.09090909090909091,0.1875,0.05811320754716981,0.005567472055118639,0.0,0.0,0.0,0.5,0.49999999999999994,0.08442982456140351,0.0,0.5478260869565226,0.0,0.9949494949494806,0.40791378478365914,0.16943521594686217,0.21528136293236966,0.010407225785108018
8,339,0.02026229508196721,0.09090909090909091,0.125,0.11245283018867926,0.0042099805008241255,0.0,0.0,0.0,0.5,0.49999999999999994,0.08333333333333333,0.15145228215767634,0.5217391304347849,0.0,0.7323232323232105,0.5732668489625325,0.15116279069768268,0.2376527275856135,0.008571602517491835
9,305,0.03252459016393442,0.09090909090909091,0.3125,0.12075471698113209,0.0036587456438816864,0.4,0.0,0.0,0.5,0.49999999999999994,0.17543859649122806,0.0,0.8956521739130459,0.0,0.1868686868687064,0.34180472896896674,0.4053156146179475,0.34262605403545005,0.007947858190636023
11,25,0.05154098360655737,0.06060606060606061,0.125,0.06566037735849056,0.0033195241934555696,0.0,0.0,0.0,0.75,0.49999999999999994,0.0625,0.06224066390041494,0.3652173913043484,0.0,0.5757575757575637,0.8590960270226873,0.18853820598008042,0.1602133884013079,0.006144398534717746
13,158,0.04262295081967213,0.09090909090909091,0.21875,0.08150943396226415,0.005548693724827193,0.0,0.0,0.0,0.75,0.49999999999999994,0.11842105263157894,0.0,0.6695652173913054,0.0,0.3686868686868934,0.7347595303200904,0.393687707641206,0.16709688521769062,0.01097812989274584
14,305,0.05967213114754098,0.15151515151515152,0.25,0.11471698113207547,0.0026229087149019373,0.20000000000000007,0.0,0.0,0.5,0.49999999999999994,0.16666666666666669,0.0,0.0,0.0,0.5353535353535221,0.8269261701785524,0.10382059800664933,0.16537601101359495,0.004823393054268054
16,90,0.0419672131147541,0.09090909090909091,0.25,0.12075471698113209,0.00818977501743053,0.4,0.0,0.0,0.5,0.49999999999999994,0.17543859649122806,0.0,0.8173913043478258,0.0,0.09090909090906507,0.9197362071738837,0.46262458471761647,0.256582343830666,0.015354678484496563
17,27,0.05377049180327868,0.12121212121212122,0.125,0.09886792452830188,0.0022897447903762872,0.20000000000000007,0.0,0.0,0.75,0.49999999999999994,0.14364035087719296,0.0,0.13913043478261145,0.0,0.5151515151515014,0.8185620073990663,0.14617940199336488,0.20839786611598693,0.004191607824487766
18,216,0.014950819672131148,0.06060606060606061,0.125,0.06867924528301887,0.005651671665135122,0.0,0.0,0.0,0.75,0.49999999999999994,0.09978070175438596,0.0,0.1826086956521742,0.0,0.005050505050519405,0.24609940485765947,0.25664451827243795,0.1137497848907245,0.005104824656624728
19,348,0.02032786885245902,0.09090909090909091,0.125,0.07245283018867925,0.005605634468291577,0.0,0.0,0.0,0.75,0.49999999999999994,0.10526315789473685,0.0,0.6000000000000014,0.0,0.01010101010103881,0.28695512304970805,0.17691029900333888,0.1516090173808295,0.00941819472539742
20,12,0.04065573770491803,0.12121212121212122,0.21875,0.10037735849056605,0.0027016565516080004,0.0,0.0,0.0,0.75,0.49999999999999994,0.0625,0.15767634854771784,0.4086956521739147,0.0,0.6666666666666856,0.8792021875502769,0.1478405315614708,0.17225950782997762,0.004972724108579758
22,62,0.027540983606557372,0.15151515151515152,0.3125,0.14943396226415095,0.0035012499704695607,0.4,0.0,0.0,0.5,0.5833333333333333,0.21710526315789475,0.0,0.8260869565217419,0.0,0.45959595959595845,0.2745697281647068,0.2906976744186096,0.31681294097401486,0.007298842454589
23,14,0.023304918032786885,0.06060606060606061,0.1875,0.05886792452830189,0.005526280878995468,0.0,0.0,0.0,0.5,0.49999999999999994,0.08552631578947369,0.0,0.7391304347826093,0.0,0.14646464646466484,0.31751648705163404,0.2931893687707827,0.14128377215625537,0.008885197731546415
24,202,0.03331147540983606,0.09090909090909091,0.28125,0.16301886792452833,0.003622400488478888,0.4,0.0,0.0,0.75,0.5833333333333333,0.2368421052631579,0.0,0.7391304347826093,0.0,0.14646464646466484,0.35065143960109424,0.2882059800664507,0.30992944415763213,0.007138024396099472
25,185,0.020721311475409836,0.09090909090909091,0.25,0.10716981132075472,0.002530228568624802,0.20000000000000007,0.0,0.0,1.0,0.4166666666666667,0.1557017543859649,0.0,0.35652173913043583,0.0,0.005050505050519405,0.23950458420461018,0.25,0.10858716227843747,0.004656831493689614
26,55,0.11304918032786886,0.09090909090909091,0.21875,0.16301886792452833,0.0013150888729912486,0.4,0.0,0.0,0.5,0.5833333333333333,0.1600877192982456,0.14522821576763484,0.13043478260869534,0.0,0.5959595959595845,0.7764194949332506,0.13205980066446443,0.23421097917742217,0.003356502620760003
27,212,0.07763934426229507,0.09090909090909091,0.125,0.08377358490566038,0.0006427034980394817,0.20000000000000007,0.0,0.0,1.0,0.5833333333333333,0.12171052631578948,0.0,0.07826086956522005,0.0,0.5606060606060623,0.7498793630368397,0.17026578073091514,0.25141972121837897,0.0036873283410813174
28,53,0.04760655737704918,0.09090909090909091,0.21875,0.09283018867924529,0.0035497101776732916,0.0,0.0,0.0,0.5,0.49999999999999994,0.054824561403508776,0.15145228215767634,0.41739130434782723,0.0,0.5757575757575637,0.8671384912337174,0.1785714285714306,0.1929099982791258,0.006414343132896598
29,295,0.08445901639344262,0.12121212121212122,0.3125,0.17207547169811324,0.004030071981580275,0.4,0.0,0.0,0.5,0.5833333333333333,0.25,0.0,0.913043478260871,0.0,0.2575757575757507,0.8869229531928653,0.3397009966777489,0.3839270349337464,0.006174264745580088
30,192,0.06629508196721311,0.09090909090909091,0.3125,0.15320754716981133,0.002095903961561363,0.4,0.0,0.0,0.5,0.5833333333333333,0.2225877192982456,0.0,0.8956521739130459,0.0,0.13131313131310662,0.6163744571336736,0.3729235880398818,0.37532266391326796,0.0038240236907974164
31,212,0.02688524590163934,0.06060606060606061,0.1875,0.06792452830188679,0.0004512856795847445,0.8000000000000002,0.0,0.0,0.5,0.49999999999999994,0.09868421052631578,0.0,0.913043478260871,0.0,0.6666666666666856,0.9192536593212282,0.13455149501662333,0.17053863362588195,0.0012693139616494877
